RIC,Market,TimestampUTC,Headline,ISIN
M44U.SI,sgx,2018-07-23 00:00:00,BRIEF-Mapletree Logistics Trust Posts QTRLY Net Property Income S$89.8 MLN,M44U
ME8U.SI,sgx,2018-07-24 00:00:00,BRIEF-Mapletree Industrial Trust Posts Qtrly Net Property Income Of S$69.5 Mln,ME8U
M44U.SI,sgx,2018-07-10 00:00:00,Moody's downgrades Mapletree Logistics Trust to Baa2; outlook stable,M44U
L02.SI,sgx,2018-07-06 00:00:00,BRIEF-Manhattan Resources Updates On Judgment On Claims Against Manhattan Resources (Ningbo) Property Limited,L02
RW0U.SI,sgx,2018-07-30 10:13:00,BRIEF-Mapletree North Asia Commercial Trust Posts Qtrly Net Property Income Of S$76.8 Mln,RW0U
M11.SI,sgx,2018-07-18 00:00:00,BRIEF-Manufacturing Integration Technology To Sell Entire Stake MIT Semiconductor Pte,M11
41S.SI,sgx,2018-07-05 00:00:00,BRIEF-Magnus Energy Group Announces Subscription Of 2.53 Billion Ordinary Shares In Magnus Energy Group,41S
M05.SI,sgx,2018-07-26 10:27:00,BRIEF-MTQ Corp Says Qtrly Revenue S$24.3 Mln Vs S$30.5 Mln,M05
M04.SI,sgx,2018-07-23 00:00:00,BRIEF-Mandarin Oriental International Says Craig Beattie To Succeed Stuart Dickie As CFO,M04
M04.SI,sgx,2018-07-26 11:23:00,BRIEF-Mandarin Oriental International Posts Hy Underlying Profit Of $22.3 Mln,M04
M11.SI,sgx,2018-07-27 12:08:00,BRIEF-Manufacturing Integration Technology Says Expects To Incur A Net Loss For HY,M11
M04.SI,sgx,2018-07-26 10:06:00,Mandarin Oriental Jardine Strategic Jardine Matheson Hdg  - Half-year Report,M04
N2IU.SI,sgx,2018-07-26 12:12:00,BRIEF-Mapletree Commercial Trust Says Qtrly Net Property Income S$85.9 Million,N2IU
M04.SI,sgx,2018-07-23 00:00:00,Mandarin Oriental  - Directorate Change,M04
RW0U.SI,sgx,2018-07-30 10:14:00,BRIEF-Mapletree North Asia Commercial Trust Says Hong Kong Retail Leasing Activity Expected To Pick Up,RW0U
5OX.SI,sgx,2018-07-31 12:30:00,BRIEF-Mary Chia Holdings Posts FY Loss Attributable of S$5.8 Mln,5OX
5LY.SI,sgx,2018-07-30 04:04:00,"Singapore's offshore industry recovering, but no return to glory days",5LY
A78.SI,sgx,2018-07-30 12:17:00,BRIEF-LionGold Corp Announces Retirement Of Executive Chairman,A78
5IE.SI,sgx,2018-07-05 00:00:00,BRIEF-Lorenzo International Posts FY Loss Attributable Of S$11.2 Mln,5IE
A78.SI,sgx,2018-07-13 00:00:00,BRIEF-Liongold Corp Says Tan Soo Khoon Raymond To Loan Co S$3.5 Mln,A78
L03.SI,sgx,2018-07-26 12:16:00,BRIEF-Lian Beng Group Posts FY Profit To Shareholders Of S$54.4 Mln,L03
1B0.SI,sgx,2018-07-03 00:00:00,BRIEF-MM2 Asia Says Entered Into Joint Venture With SPH Invest,1B0
B2F.SI,sgx,2018-07-27 10:26:00,BRIEF-M1 Ltd Says Q2 Net Profit S$36.2 Million,B2F
1D3.SI,sgx,2018-07-13 00:00:00,BRIEF-Lifebrandz Says Kayoko Francis Appointed As Executive Director,1D3
L19.SI,sgx,2018-07-20 00:00:00,BRIEF-Lum Chang Holdings Says Unit To Subscribe For New Shares In Daehan Rehabilitation Services,L19
5OC.SI,sgx,2018-07-04 00:00:00,BRIEF-Koyo International Says Unit Awarded Contract Valued At S$5.2 Million By Housing & Development Board,5OC
BJL.SI,sgx,2018-07-09 00:00:00,BRIEF-LCT Holdings Appoints Luo Haiyan As CFO,BJL
1H8.SI,sgx,2018-07-16 00:00:00,BRIEF-LY Corporation Says Unit Enters Distribution Agreement With Hangzhou Feilue Network Technology Co,1H8
1D0.SI,sgx,2018-07-02 00:00:00,BRIEF-Kimly Announces To Buy Asian Story Corporation Pte From Wang Chia Ye,1D0
5HV.SI,sgx,2018-07-31 10:53:00,BRIEF-Koh Brothers Eco Engineering Says Qtrly Revenue S$66.2 Mln Vs S$49.8 Mln,5HV
5MZ.SI,sgx,2018-07-16 00:00:00,BRIEF-Kingsmen Creatives Says Invested Additional S$2 Mln In Its Unit,5MZ
